10:11:27 Car:1(Body:4,Engine:3,Accessory:6)
10:11:27 Car:2(Body:3,Engine:2,Accessory:5)
10:11:29 Car:3(Body:2,Engine:1,Accessory:4)
10:11:29 Car:4(Body:5,Engine:4,Accessory:10)
10:11:29 Car:5(Body:7,Engine:5,Accessory:12)
10:11:31 Car:6(Body:8,Engine:6,Accessory:14)
10:11:31 Car:7(Body:10,Engine:7,Accessory:16)
10:11:34 Car:8(Body:12,Engine:8,Accessory:20)
10:11:34 Car:9(Body:13,Engine:9,Accessory:22)
10:11:36 Car:10(Body:15,Engine:10,Accessory:24)
10:11:36 Car:11(Body:16,Engine:11,Accessory:28)
10:11:40 Car:12(Body:18,Engine:12,Accessory:30)
10:11:40 Car:13(Body:20,Engine:13,Accessory:32)
10:11:40 Car:14(Body:21,Engine:14,Accessory:33)
10:11:42 Car:15(Body:23,Engine:15,Accessory:34)
10:11:42 Car:16(Body:24,Engine:16,Accessory:35)
10:11:47 Car:17(Body:26,Engine:17,Accessory:36)
10:11:47 Car:18(Body:28,Engine:18,Accessory:37)
10:11:47 Car:19(Body:29,Engine:19,Accessory:38)
10:11:47 Car:20(Body:31,Engine:20,Accessory:39)
10:11:51 Car:21(Body:32,Engine:21,Accessory:40)
10:11:51 Car:22(Body:34,Engine:22,Accessory:41)
10:11:51 Car:23(Body:36,Engine:23,Accessory:42)
10:11:53 Car:24(Body:37,Engine:24,Accessory:43)
10:11:53 Car:25(Body:39,Engine:25,Accessory:44)
10:11:57 Car:26(Body:40,Engine:26,Accessory:45)
10:11:57 Car:27(Body:42,Engine:27,Accessory:46)
10:11:57 Car:28(Body:44,Engine:28,Accessory:47)
10:11:58 Car:29(Body:45,Engine:29,Accessory:48)
10:11:59 Car:30(Body:47,Engine:30,Accessory:49)
10:12:01 Car:31(Body:48,Engine:31,Accessory:50)
10:12:01 Car:32(Body:50,Engine:32,Accessory:51)
10:12:03 Car:33(Body:52,Engine:33,Accessory:52)
10:12:06 Car:34(Body:53,Engine:34,Accessory:53)
10:12:06 Car:35(Body:55,Engine:35,Accessory:54)
10:12:06 Car:36(Body:56,Engine:36,Accessory:55)
10:12:07 Car:37(Body:58,Engine:37,Accessory:56)
10:12:12 Car:38(Body:60,Engine:38,Accessory:57)
10:12:12 Car:39(Body:61,Engine:39,Accessory:58)
10:12:12 Car:40(Body:63,Engine:40,Accessory:59)
10:12:12 Car:41(Body:64,Engine:41,Accessory:60)
10:12:17 Car:42(Body:66,Engine:42,Accessory:61)
10:12:17 Car:43(Body:67,Engine:43,Accessory:62)
10:12:17 Car:44(Body:68,Engine:44,Accessory:63)
10:12:17 Car:45(Body:69,Engine:45,Accessory:64)
10:12:18 Car:46(Body:70,Engine:46,Accessory:65)
10:12:21 Car:47(Body:71,Engine:47,Accessory:66)
10:12:21 Car:48(Body:72,Engine:48,Accessory:67)
10:12:24 Car:49(Body:73,Engine:49,Accessory:68)
10:12:24 Car:50(Body:74,Engine:50,Accessory:69)
10:12:24 Car:51(Body:75,Engine:51,Accessory:70)
10:12:25 Car:52(Body:76,Engine:52,Accessory:71)
10:12:30 Car:53(Body:77,Engine:53,Accessory:72)
10:12:30 Car:54(Body:78,Engine:54,Accessory:73)
10:12:30 Car:55(Body:79,Engine:55,Accessory:74)
10:12:30 Car:56(Body:80,Engine:56,Accessory:75)
